episode,loss
0,0
1000,0.030967496
2000,0.088252544
3000,0.4859281
4000,0.29245108
5000,5.0133104
6000,92.662674
7000,2309.19
8000,3073.9858
9000,8755.807
10000,1344.4777
11000,2411.1226
12000,36400.438
13000,6019.2695
14000,3840.9246
15000,6946.835
16000,235684.12
17000,118454.47
18000,16605.086
19000,69767.62
20000,11150.339
21000,27479.734
22000,11436.988
23000,302384.25
24000,4660.395
25000,5831.6504
26000,88421.58
27000,8913.936
28000,416291.53
29000,461906.38
