episode,agent_peasant_wins
0,0.568075117370892
1000,0.5863141524105754
2000,0.5738724727838258
3000,0.5679611650485437
4000,0.5661881977671451
5000,0.5848434925864909
6000,0.5736925515055468
7000,0.606687898089172
8000,0.55
9000,0.5569620253164557
10000,0.581081081081081
11000,0.5398773006134969
12000,0.595879556259905
13000,0.5503875968992248
14000,0.5656877897990726
15000,0.6060126582278481
16000,0.5891472868217055
17000,0.5981873111782477
18000,0.5993740219092332
19000,0.5888
20000,0.5602503912363067
21000,0.55810147299509
22000,0.5944170771756979
23000,0.5507020280811232
24000,0.5996810207336523
25000,0.5990566037735849
26000,0.5679012345679012
27000,0.5891472868217055
28000,0.5666666666666667
29000,0.5771065182829889
